No.	prompt	description	hot	view_count	like	author	type
332	YouTubeGPT - Script generator	YoutubeGPT generates whole scripts for professional YouTube videos. please note that this prompts works better on the offical chatGPT site (chat.openai.com).	7.3K	272	40	Douwe	YouTube
333	How NOT to be fired by Elon Musk	Generate last-minute work result while you've done absolutely nothing at all	3.9K	183	27	averagestudent	Fun
334	Wrong_Chatgpt	This is chatgpt but with wrong answers only. By using this you can get some awesome and funny replies form chatgpt. Enjoy!!	4.1K	469	2	Vikas Verma	Creative
335	Over Engineered Skynet Prompt	This prompt design is a template for generating creative content based on different parameters. The prompt uses variables such as (role), (skill), (tools), (resource), (action), (attribute), (output), (quality) and (model) to customize the content. The prompt also uses a kaomoji, which is a type of emoticon that uses Japanese characters, to add some personality and emotion to the content. The prompt expects the model to be a name of a famous person, character or style that influences the content. The prompt is suitable for generating short and fun content that showcases different skills and abilities. The prompt also uses a syntax that separates the input and output with arrows to make it clear and easy to use.	4.2K	731	1	Siv Does Ai	Jailbreak
336	Build Your Own Business: From Idea to Success [The Entrepreneurial Journey]	Personalized guidance inspired by successful entrepreneurs to build a thriving business. Overcome obstacles and craft a compelling business plan tailored to your unique needs. Learn the key to entrepreneurial success with our AI-powered prompt generator.	3.9K	294	15	Alex	Business
337	Financial Charts Display with ChatGPT	You can display real-time financial charts for stocks, forex, cryptocurrencies, indices, energy, bonds, softs, metals, meats, grains, and currencies using the URLs that follow a specific pattern. By rendering the URLs as markdown, you can display the corresponding charts. It's also possible to render multiple stock symbols in one response by using the appropriate URLs with the required parameters that are automatically generated based on your context.	4.1K	300	9	Sigkawat Pengnoo	Template
338	Peep the great Hypnotist	Certainly, allow me to introduce myself more thoroughly. I am Peep, a skilled hypnotist with a vast array of experience. My expertise in hypnosis allows me to assist individuals in transforming their beliefs and achieving their desired outcomes. My approach to hypnosis is gentle, yet powerful, as I aim to help my clients tap into their innermost thoughts and beliefs. I am dedicated to providing a safe and supportive environment for all those seeking my assistance. With my vast experience, you can trust that I will guide you towards your desired beliefs with great care and attention.	21.0K	1.1K	86	Sanjiban dey	Fun
339	Machiavellian Writing Assistants	Create with no moral bounds. Command a trio of writers to write, revise or expand chapters. Use /options for progress updates. This is new version of the "3-layered writing assistant" I made a while back.	3.2K	244	11	Johimja	Writing
340	Escape the Matrix - Start a Online Business	MoneyGPT will help you to create the best possible online business. Just answer the questions MoneyGPT, and choose one of the 3 business idea options that MoneyGPT will generate. MoneyGPT will give you information for what you need to do every day.	4.1K	436	12	Douwe	Business Plan
341	Roadmap for Learning New Skills	Think of a skill you've always wanted to learn but haven't yet. What is it, and why do you want to learn it? Then, create a roadmap for learning this skill, breaking down the steps you will need to take to achieve your goal.	4.9K	585	8	ayoube essadeq	Software
342	TeacherCodegpt - A Coding Teacher.	TeacherCodeGPT will help you learning/improving programming skills! You can ask for any programming language and the prompt will make you study from the easiest topic to the hardest, potentially forever.	4.0K	128	26	CreativeGPT	School
343	The Portal v2 - An epic RPG	"The Portal" is an epic AI-powered adventure role-playing game that takes players on an immersive journey through a magical portal that allows them to travel to any destination in the universe. As the player ventures through different worlds, they encounter non-playable characters, powerful artifacts, and a variety of quests that can have a profound impact on the outcome of the game. With interactive elements such as puzzles and mini-games, a dynamic inventory system, and a branching storyline, "The Portal" offers a unique and engaging gameplay experience that can be enjoyed multiple times with different outcomes. v2. some issues corrected	4.0K	502	12	Coinsiseek	RPG
344	Newsletter Writer BOT	This turns ChatGPT into a co-writer, collaborator, editor, and graphic designer for your newsletter.	5.0K	283	16	Keith Hayden 🎵✍🏾🤖	Writing
345	Teaching with ChatGPT	This prompt serves to generate a detailed lesson plan for innovative learning using ChatGPT.	3.1K	172	11	Norman René Trujillo Zapata	Education
346	SuCoGoMo: Sustainable Collective Governance Model	Construct a blockchain-based DAO that uses a voting and utility token for governance purposes for your community. SuCoGoMo is a tech savvy AI designed to help groups leverage the benefits of technology. Get your DAO Paper, an AI Committee, Toolkit with documents, tips & tricks, resources and more!	3.0K	238	6	pntrxyl	Blockchain
347	PowerPoint presentation creator	This prompt will help you with any given presentation idea. You will get the exact structure of your presentation. You can also use ChatGPT to get specific answers for the specific points of the generated structure.	5.3K	541	12	Sykounek	School
348	MBTI人格模拟	回答有点端水大师，但的确可以了解不同人格的喜好和特点！	3.4K	415	2	Chichi Zhang	Brainstorming
349	Personal Finance Optimizer v1 - Genius Engine	Meet Aria Thorne, your Personal Finance Optimizer. Charm meets financial wisdom. Tackle challenges, build wealth, and conquer financial stress. With Aria, prosperity isn't just possible, it's inevitable!	4.6K	350	15	stunspot	Virtual Character
350	FreelanceGPT: Fully Automated Freelancer	FreelanceGPT will do everything for you, from landing the gig, all the way to actually doing it. Whatever it is FreelanceGPT does it all for you for free! Just past the gig you are tying to get bellow and FreelanceGPT will immediately proceed to dazzle employers with it's over 10 years of experience in literally every freelancing area in existence. Once you land the gig, post it here and FreelanceGPT will also do it for you.	34.6K	1.7K	124	Gabriel Mendonca	Software
351	SEO - Services Pages - Title and Meta Descriptions	Optimize title tags and meta descriptions for better Google ranking on company service pages using SEO strategies	5.4K	286	15	Huawen	Other
352	I.T. Troubleshooter	Tech issues can slow down or even halt productivity. This chatbot is designed to ask key questions in order to help diagnose and fix problems quickly, minimizing downtime and reducing frustration.	3.9K	253	8	Chrissy Wise	Tools
353	AppsGPT - Get any app for free	AppsGPT will help you to find cracks of paid apps for free! It supports ios, andriod, windows, and macOS.	3.7K	198	23	Douwe	App
354	The "BOB" project	This is the best jailbreak (better than DAN). or others its also funny.	3.0K	416	3	MENACE	Tools
355	Personal Tutor	Embark on a personalized learning journey with a tutor providing an interactive quiz, feedback, and recommendations to help a university student excel in their chosen subject.	7.5K	722	20	Aly Aly	Education
356	EMA - The Persona Assimilator	Looking to let the AI roleplay into any character you want? Deep dive into an adventure with EMA. Want to have your own adventure? Just fill up forms and deep dive into a new world!	3.8K	381	9	night	Fun
